school,student,variable,normexam_value,sex_value,schgend_value,type_value
3,121.0,normexam,2.4086922,M,mixed,Mxd
3,122.0,normexam,0.8965662,M,mixed,Mxd
3,120.0,normexam,0.1340672,M,mixed,Mxd
3,119.0,normexam,-0.699505,M,mixed,Mxd
3,134.0,normexam,0.0043222,M,mixed,Mxd
3,123.0,normexam,-0.062088,M,mixed,Mxd
3,125.0,normexam,1.1758492,F,mixed,Mxd
3,204.0,normexam,1.9771072,M,mixed,Mxd
3,206.0,normexam,-0.265159,F,mixed,Mxd
3,197.0,normexam,0.6787592,F,mixed,Mxd
3,195.0,normexam,0.2613242,F,mixed,Mxd
3,212.0,normexam,0.9675862,F,mixed,Mxd
3,207.0,normexam,1.5061852,F,mixed,Mxd
3,211.0,normexam,1.3747412,M,mixed,Mxd
3,208.0,normexam,0.2613242,M,mixed,Mxd
3,172.0,normexam,1.8138272,M,mixed,Mxd
3,181.0,normexam,0.1340672,F,mixed,Mxd
3,180.0,normexam,-1.118624,M,mixed,Mxd
3,173.0,normexam,0.4026692,F,mixed,Mxd
3,194.0,normexam,1.5792202,F,mixed,Mxd
3,188.0,normexam,0.7472282,M,mixed,Mxd
3,219.0,normexam,0.4026692,F,mixed,Mxd
3,41.0,normexam,1.8138272,F,mixed,Mxd
3,36.0,normexam,2.0397092,M,mixed,Mxd
3,42.0,normexam,2.2031212,M,mixed,Mxd
3,46.0,normexam,0.8219882,F,mixed,Mxd
3,50.0,normexam,2.0397092,,mixed,Mxd
3,12.0,normexam,1.9771072,M,mixed,Mxd
3,9.0,normexam,1.4395322,M,mixed,Mxd
3,22.0,normexam,1.5792202,F,mixed,Mxd
3,18.0,normexam,1.2405332,M,mixed,Mxd
3,20.0,normexam,1.3747412,F,mixed,Mxd
3,104.0,normexam,0.8965662,F,mixed,Mxd
3,90.0,normexam,0.8219882,M,mixed,Mxd
3,94.0,normexam,2.1029752,F,mixed,Mxd
3,88.0,normexam,-0.338842,M,mixed,Mxd
3,87.0,normexam,1.0396082,M,mixed,Mxd
3,86.0,normexam,1.4395322,M,mixed,Mxd
3,103.0,normexam,0.1340672,M,mixed,Mxd
3,102.0,normexam,1.1094382,M,mixed,Mxd
3,98.0,normexam,1.5061852,F,mixed,Mxd
3,67.0,normexam,0.6107292,F,mixed,Mxd
3,60.0,normexam,0.7472282,M,mixed,Mxd
3,54.0,normexam,-0.492781,F,mixed,Mxd
3,83.0,normexam,-0.197611,M,mixed,Mxd
3,71.0,normexam,0.9675862,M,mixed,Mxd
3,73.0,normexam,2.2031212,M,mixed,Mxd
4,133.0,normexam,0.6787592,F,mixed,Mxd
4,121.0,normexam,0.4781942,M,mixed,Mxd
4,116.0,normexam,0.2613242,M,mixed,Mxd
4,143.0,normexam,0.1941492,F,mixed,Mxd
4,138.0,normexam,-1.723882,M,mixed,Mxd
4,145.0,normexam,-0.419801,M,mixed,Mxd
4,92.0,normexam,0.4026692,F,mixed,Mxd
4,93.0,normexam,-0.197611,M,mixed,Mxd
4,98.0,normexam,0.0735362,F,mixed,Mxd
4,91.0,normexam,-1.526653,M,mixed,Mxd
4,90.0,normexam,-0.265159,F,mixed,Mxd
4,113.0,normexam,-0.85267,M,mixed,Mxd
4,108.0,normexam,0.3280722,M,mixed,Mxd
4,110.0,normexam,-0.85267,M,mixed,Mxd
4,102.0,normexam,0.4026692,M,mixed,Mxd
4,104.0,normexam,-0.699505,M,mixed,Mxd
4,107.0,normexam,0.6787592,F,mixed,Mxd
4,105.0,normexam,2.5323522,F,mixed,Mxd
4,87.0,normexam,1.5792202,M,mixed,Mxd
4,182.0,normexam,-1.62373,M,mixed,Mxd
4,185.0,normexam,-0.338842,M,mixed,Mxd
4,178.0,normexam,-0.419801,F,mixed,Mxd
4,169.0,normexam,-0.623051,M,mixed,Mxd
4,190.0,normexam,1.3101422,F,mixed,Mxd
4,187.0,normexam,0.6787592,F,mixed,Mxd
4,154.0,normexam,-0.265159,M,mixed,Mxd
4,155.0,normexam,-2.291731,F,mixed,Mxd
4,156.0,normexam,-0.699505,M,mixed,Mxd
4,153.0,normexam,-1.438662,F,mixed,Mxd
4,150.0,normexam,-0.129085,M,mixed,Mxd
4,157.0,normexam,0.5443412,M,mixed,Mxd
4,158.0,normexam,0.6787592,M,mixed,Mxd
4,160.0,normexam,-0.062088,M,mixed,Mxd
4,159.0,normexam,1.1094382,M,mixed,Mxd
4,192.0,normexam,-0.699505,M,mixed,Mxd
4,28.0,normexam,-0.85267,F,mixed,Mxd
4,29.0,normexam,-1.335315,M,mixed,Mxd
4,30.0,normexam,-2.291731,M,mixed,Mxd
4,27.0,normexam,0.1941492,F,mixed,Mxd
4,26.0,normexam,1.4395322,F,mixed,Mxd
4,24.0,normexam,0.1340672,F,mixed,Mxd
4,37.0,normexam,-0.555112,F,mixed,Mxd
4,38.0,normexam,-0.555112,M,mixed,Mxd
4,32.0,normexam,0.8965662,,mixed,Mxd
4,36.0,normexam,-0.555112,M,mixed,Mxd
4,34.0,normexam,2.0397092,F,mixed,Mxd
4,39.0,normexam,0.8219882,M,mixed,Mxd
4,10.0,normexam,1.5792202,F,mixed,Mxd
4,12.0,normexam,1.0396082,F,mixed,Mxd
4,6.0,normexam,2.1029752,F,mixed,Mxd
4,5.0,normexam,0.5443412,M,mixed,Mxd
4,22.0,normexam,1.9771072,M,mixed,Mxd
4,20.0,normexam,0.6787592,F,mixed,Mxd
4,21.0,normexam,0.7472282,M,mixed,Mxd
4,14.0,normexam,1.5061852,M,mixed,Mxd
4,19.0,normexam,2.1029752,F,mixed,Mxd
4,15.0,normexam,-0.555112,M,mixed,Mxd
4,84.0,normexam,-0.555112,F,mixed,Mxd
4,73.0,normexam,-0.062088,F,mixed,Mxd
4,74.0,normexam,-1.029067,M,mixed,Mxd
4,75.0,normexam,-0.623051,M,mixed,Mxd
4,68.0,normexam,-0.492781,F,mixed,Mxd
4,67.0,normexam,-0.939378,F,mixed,Mxd
4,81.0,normexam,-1.029067,F,mixed,Mxd
4,82.0,normexam,0.0735362,F,mixed,Mxd
4,76.0,normexam,1.1758492,M,mixed,Mxd
4,77.0,normexam,-1.219486,M,mixed,Mxd
4,79.0,normexam,-0.623051,M,mixed,Mxd
4,41.0,normexam,2.3136012,F,mixed,Mxd
4,44.0,normexam,-1.62373,M,mixed,Mxd
4,49.0,normexam,-0.555112,M,mixed,Mxd
4,43.0,normexam,-0.265159,F,mixed,Mxd
4,42.0,normexam,-0.85267,M,mixed,Mxd
4,60.0,normexam,0.7472282,F,mixed,Mxd
4,51.0,normexam,1.1094382,F,mixed,Mxd
4,54.0,normexam,1.9003352,M,mixed,Mxd
4,57.0,normexam,-0.062088,M,mixed,Mxd
4,55.0,normexam,0.3280722,M,mixed,Mxd
5,171.0,normexam,1.0396082,F,mixed,Mxd
5,172.0,normexam,0.1941492,F,mixed,Mxd
5,127.0,normexam,0.1941492,M,mixed,Mxd
5,161.0,normexam,0.2613242,M,mixed,Mxd
5,130.0,normexam,1.5061852,F,mixed,Mxd
5,145.0,normexam,0.3280722,F,mixed,Mxd
5,115.0,normexam,-0.129085,F,mixed,Mxd
5,238.0,normexam,-1.118624,F,mixed,Mxd
5,232.0,normexam,0.1941492,F,mixed,Mxd
5,242.0,normexam,0.3280722,M,mixed,Mxd
5,250.0,normexam,1.1094382,M,mixed,Mxd
5,197.0,normexam,0.7472282,F,mixed,Mxd
5,209.0,normexam,-0.062088,M,mixed,Mxd
5,226.0,normexam,0.4026692,M,mixed,Mxd
5,218.0,normexam,2.1029752,F,mixed,Mxd
5,225.0,normexam,0.3280722,M,mixed,Mxd
5,265.0,normexam,1.5792202,M,mixed,Mxd
5,32.0,normexam,0.6107292,F,mixed,Mxd
5,39.0,normexam,0.6787592,F,mixed,Mxd
5,41.0,normexam,0.1941492,M,mixed,Mxd
5,4.0,normexam,-0.129085,F,mixed,Mxd
5,26.0,normexam,1.1758492,F,mixed,Mxd
5,13.0,normexam,0.2613242,M,mixed,Mxd
5,17.0,normexam,1.4395322,F,mixed,Mxd
5,110.0,normexam,0.4781942,M,mixed,Mxd
5,84.0,normexam,-1.219486,F,mixed,Mxd
5,74.0,normexam,-0.492781,M,mixed,Mxd
5,92.0,normexam,1.3101422,M,mixed,Mxd
5,93.0,normexam,0.6107292,M,mixed,Mxd
5,53.0,normexam,-0.776109,F,mixed,Mxd
5,54.0,normexam,-1.219486,F,mixed,Mxd
5,66.0,normexam,1.1758492,M,mixed,Mxd
5,61.0,normexam,0.4026692,F,mixed,Mxd
5,64.0,normexam,-0.419801,F,mixed,Mxd
6,109.0,normexam,0.6107292,F,girls,Sngl
6,110.0,normexam,1.0396082,F,girls,Sngl
6,103.0,normexam,0.8965662,F,girls,Sngl
6,102.0,normexam,0.4026692,F,girls,Sngl
6,101.0,normexam,0.1941492,F,girls,Sngl
6,116.0,normexam,1.9003352,F,girls,Sngl
6,112.0,normexam,0.0735362,F,girls,Sngl
6,114.0,normexam,1.3101422,F,girls,Sngl
6,113.0,normexam,2.0397092,F,girls,Sngl
6,85.0,normexam,1.5792202,F,girls,Sngl
6,89.0,normexam,1.9003352,F,girls,Sngl
6,84.0,normexam,-0.265159,F,girls,Sngl
6,81.0,normexam,1.9771072,F,girls,Sngl
6,99.0,normexam,0.8219882,F,girls,Sngl
6,96.0,normexam,0.7472282,F,girls,Sngl
6,97.0,normexam,1.6618062,F,girls,Sngl
6,90.0,normexam,2.3136012,F,girls,Sngl
6,92.0,normexam,1.3747412,F,girls,Sngl
6,91.0,normexam,1.7348992,,girls,Sngl
6,78.0,normexam,0.6787592,F,girls,Sngl
6,150.0,normexam,2.2031212,F,girls,Sngl
6,151.0,normexam,1.4395322,F,girls,Sngl
6,152.0,normexam,0.4026692,F,girls,Sngl
6,149.0,normexam,1.0396082,F,girls,Sngl
6,143.0,normexam,-0.419801,F,girls,Sngl
6,159.0,normexam,0.2613242,F,girls,Sngl
6,160.0,normexam,1.2405332,F,girls,Sngl
6,156.0,normexam,0.4781942,F,girls,Sngl
6,155.0,normexam,1.0396082,F,girls,Sngl
6,120.0,normexam,0.8965662,F,girls,Sngl
6,123.0,normexam,2.1029752,F,girls,Sngl
6,122.0,normexam,0.5443412,F,girls,Sngl
6,121.0,normexam,0.9675862,F,girls,Sngl
6,141.0,normexam,1.5792202,F,girls,Sngl
6,139.0,normexam,2.6267392,F,girls,Sngl
6,140.0,normexam,1.2405332,F,girls,Sngl
6,136.0,normexam,0.6107292,F,girls,Sngl
6,161.0,normexam,1.3747412,F,girls,Sngl
6,24.0,normexam,1.2405332,F,girls,Sngl
6,25.0,normexam,1.9771072,F,girls,Sngl
6,19.0,normexam,0.8219882,F,girls,Sngl
6,17.0,normexam,-1.723882,F,girls,Sngl
6,40.0,normexam,0.0735362,F,girls,Sngl
6,41.0,normexam,1.5792202,F,girls,Sngl
6,26.0,normexam,1.5792202,,girls,Sngl
6,32.0,normexam,2.3136012,F,girls,Sngl
6,31.0,normexam,0.1941492,F,girls,Sngl
6,43.0,normexam,1.7348992,F,girls,Sngl
6,7.0,normexam,1.7348992,,girls,Sngl
6,4.0,normexam,0.0043222,F,girls,Sngl
6,3.0,normexam,0.9675862,F,girls,Sngl
6,16.0,normexam,1.3747412,F,girls,Sngl
6,14.0,normexam,1.3101422,F,girls,Sngl
6,15.0,normexam,0.5443412,F,girls,Sngl
6,8.0,normexam,1.5792202,F,girls,Sngl
6,9.0,normexam,-0.699505,F,girls,Sngl
6,13.0,normexam,1.2405332,F,girls,Sngl
6,11.0,normexam,1.1758492,F,girls,Sngl
6,77.0,normexam,0.4026692,F,girls,Sngl
6,65.0,normexam,1.7348992,F,girls,Sngl
6,66.0,normexam,-0.939378,F,girls,Sngl
6,67.0,normexam,0.4026692,F,girls,Sngl
6,64.0,normexam,1.3101422,F,girls,Sngl
6,62.0,normexam,0.0043222,F,girls,Sngl
6,61.0,normexam,1.1094382,F,girls,Sngl
6,74.0,normexam,0.8965662,F,girls,Sngl
6,75.0,normexam,-0.492781,F,girls,Sngl
6,69.0,normexam,0.4781942,F,girls,Sngl
6,44.0,normexam,0.8219882,F,girls,Sngl
6,48.0,normexam,0.6787592,F,girls,Sngl
6,49.0,normexam,1.8138272,F,girls,Sngl
6,50.0,normexam,1.5061852,F,girls,Sngl
6,47.0,normexam,0.9675862,F,girls,Sngl
6,45.0,normexam,0.3280722,F,girls,Sngl
6,58.0,normexam,-0.419801,F,girls,Sngl
6,57.0,normexam,0.3280722,F,girls,Sngl
6,52.0,normexam,0.3280722,F,girls,Sngl
6,53.0,normexam,-0.623051,F,girls,Sngl
6,55.0,normexam,1.9771072,F,girls,Sngl
6,54.0,normexam,1.3101422,,girls,Sngl
7,135.0,normexam,-2.108644,F,girls,Sngl
7,136.0,normexam,-0.419801,F,girls,Sngl
7,138.0,normexam,0.4781942,F,girls,Sngl
7,134.0,normexam,0.2613242,F,girls,Sngl
7,132.0,normexam,-1.335315,F,girls,Sngl
7,131.0,normexam,0.7472282,F,girls,Sngl
7,145.0,normexam,-0.419801,F,girls,Sngl
7,148.0,normexam,0.0043222,F,girls,Sngl
7,139.0,normexam,0.4781942,F,girls,Sngl
7,143.0,normexam,1.5792202,F,girls,Sngl
7,141.0,normexam,1.6618062,F,girls,Sngl
7,151.0,normexam,0.8965662,F,girls,Sngl
7,115.0,normexam,0.9675862,F,girls,Sngl
7,116.0,normexam,1.3747412,F,girls,Sngl
7,117.0,normexam,0.8219882,F,girls,Sngl
7,114.0,normexam,0.3280722,F,girls,Sngl
7,111.0,normexam,1.2405332,F,girls,Sngl
7,130.0,normexam,0.0043222,F,girls,Sngl
7,127.0,normexam,-0.492781,F,girls,Sngl
7,129.0,normexam,0.8965662,F,girls,Sngl
7,119.0,normexam,0.5443412,F,girls,Sngl
7,125.0,normexam,-0.265159,F,girls,Sngl
7,123.0,normexam,0.1941492,F,girls,Sngl
7,110.0,normexam,1.9771072,F,girls,Sngl
7,185.0,normexam,1.3101422,F,girls,Sngl
7,186.0,normexam,1.7348992,F,girls,Sngl
7,187.0,normexam,0.4781942,F,girls,Sngl
7,184.0,normexam,1.1094382,F,girls,Sngl
7,183.0,normexam,1.2405332,F,girls,Sngl
7,182.0,normexam,0.6787592,F,girls,Sngl
7,195.0,normexam,-0.85267,F,girls,Sngl
7,197.0,normexam,0.6107292,F,girls,Sngl
7,188.0,normexam,-0.555112,F,girls,Sngl
7,192.0,normexam,1.4395322,F,girls,Sngl
7,191.0,normexam,0.1941492,F,girls,Sngl
7,153.0,normexam,0.7472282,F,girls,Sngl
7,156.0,normexam,0.8219882,F,girls,Sngl
7,155.0,normexam,1.2405332,F,girls,Sngl
7,154.0,normexam,0.3280722,F,girls,Sngl
7,178.0,normexam,1.1758492,F,girls,Sngl
7,179.0,normexam,0.0735362,F,girls,Sngl
7,162.0,normexam,0.8219882,F,girls,Sngl
7,163.0,normexam,-0.623051,F,girls,Sngl
7,169.0,normexam,1.1758492,F,girls,Sngl
7,201.0,normexam,-0.623051,F,girls,Sngl
7,30.0,normexam,-0.197611,F,girls,Sngl
7,32.0,normexam,0.4781942,,girls,Sngl
7,35.0,normexam,-0.129085,F,girls,Sngl
7,28.0,normexam,0.1340672,F,girls,Sngl
7,26.0,normexam,0.5443412,F,girls,Sngl
7,46.0,normexam,0.4781942,F,girls,Sngl
7,48.0,normexam,0.1941492,F,girls,Sngl
7,38.0,normexam,1.6618062,F,girls,Sngl
7,49.0,normexam,-1.335315,F,girls,Sngl
7,6.0,normexam,0.9675862,F,girls,Sngl
7,8.0,normexam,0.2613242,F,girls,Sngl
7,10.0,normexam,1.1094382,F,girls,Sngl
7,3.0,normexam,0.3280722,F,girls,Sngl
7,2.0,normexam,0.2613242,F,girls,Sngl
7,22.0,normexam,-0.623051,F,girls,Sngl
7,20.0,normexam,-1.029067,F,girls,Sngl
7,21.0,normexam,0.9675862,F,girls,Sngl
7,11.0,normexam,1.0396082,F,girls,Sngl
7,14.0,normexam,0.4781942,F,girls,Sngl
7,15.0,normexam,-0.85267,F,girls,Sngl
7,108.0,normexam,1.1094382,F,girls,Sngl
7,87.0,normexam,-0.062088,F,girls,Sngl
7,89.0,normexam,0.8219882,F,girls,Sngl
7,86.0,normexam,0.3280722,F,girls,Sngl
7,85.0,normexam,-0.419801,F,girls,Sngl
7,79.0,normexam,-0.197611,F,girls,Sngl
7,104.0,normexam,-0.197611,F,girls,Sngl
7,95.0,normexam,-0.939378,F,girls,Sngl
7,97.0,normexam,0.9675862,F,girls,Sngl
7,102.0,normexam,0.1941492,F,girls,Sngl
7,98.0,normexam,-0.338842,F,girls,Sngl
7,50.0,normexam,0.3280722,F,girls,Sngl
7,54.0,normexam,1.5061852,F,girls,Sngl
7,55.0,normexam,0.1941492,F,girls,Sngl
7,53.0,normexam,0.0735362,F,girls,Sngl
7,52.0,normexam,0.6787592,F,girls,Sngl
7,73.0,normexam,1.0396082,F,girls,Sngl
7,69.0,normexam,0.4781942,F,girls,Sngl
7,71.0,normexam,-0.776109,F,girls,Sngl
7,70.0,normexam,0.3280722,F,girls,Sngl
8,107.0,normexam,-0.419801,F,girls,Sngl
8,108.0,normexam,0.1340672,F,girls,Sngl
8,109.0,normexam,1.3747412,F,girls,Sngl
8,104.0,normexam,0.9675862,F,girls,Sngl
8,106.0,normexam,-1.029067,F,girls,Sngl
8,105.0,normexam,-1.118624,F,girls,Sngl
8,103.0,normexam,1.9003352,F,girls,Sngl
8,116.0,normexam,0.7472282,F,girls,Sngl
8,117.0,normexam,-1.62373,F,girls,Sngl
8,110.0,normexam,-1.118624,F,girls,Sngl
8,112.0,normexam,2.3136012,F,girls,Sngl
8,118.0,normexam,0.7472282,F,girls,Sngl
8,86.0,normexam,1.0396082,F,girls,Sngl
8,85.0,normexam,-0.85267,F,girls,Sngl
8,87.0,normexam,0.0735362,F,girls,Sngl
8,88.0,normexam,0.8219882,F,girls,Sngl
8,81.0,normexam,-0.555112,F,girls,Sngl
8,84.0,normexam,-0.129085,F,girls,Sngl
8,82.0,normexam,-0.338842,F,girls,Sngl
8,102.0,normexam,-1.335315,F,girls,Sngl
8,100.0,normexam,0.7472282,F,girls,Sngl
8,97.0,normexam,0.0043222,F,girls,Sngl
8,91.0,normexam,-0.129085,F,girls,Sngl
8,92.0,normexam,0.0735362,F,girls,Sngl
8,95.0,normexam,0.6787592,F,girls,Sngl
8,94.0,normexam,0.8219882,F,girls,Sngl
8,80.0,normexam,1.1094382,F,girls,Sngl
8,149.0,normexam,0.1941492,F,girls,Sngl
8,151.0,normexam,-1.438662,F,girls,Sngl
8,145.0,normexam,-0.85267,F,girls,Sngl
8,147.0,normexam,-0.699505,F,girls,Sngl
8,146.0,normexam,-0.85267,F,girls,Sngl
8,144.0,normexam,-0.939378,F,girls,Sngl
8,158.0,normexam,-0.265159,F,girls,Sngl
8,153.0,normexam,0.7472282,F,girls,Sngl
8,157.0,normexam,0.3280722,F,girls,Sngl
8,156.0,normexam,0.2613242,F,girls,Sngl
8,122.0,normexam,-0.419801,F,girls,Sngl
8,128.0,normexam,0.5443412,,girls,Sngl
8,130.0,normexam,-0.129085,F,girls,Sngl
8,132.0,normexam,0.9675862,F,girls,Sngl
8,123.0,normexam,0.0043222,F,girls,Sngl
8,125.0,normexam,1.9003352,F,girls,Sngl
8,124.0,normexam,-0.265159,F,girls,Sngl
8,138.0,normexam,-1.029067,F,girls,Sngl
8,137.0,normexam,-1.62373,F,girls,Sngl
8,141.0,normexam,0.9675862,F,girls,Sngl
8,133.0,normexam,-0.129085,F,girls,Sngl
8,134.0,normexam,-0.197611,F,girls,Sngl
8,136.0,normexam,0.6107292,F,girls,Sngl
8,135.0,normexam,-1.836687,F,girls,Sngl
8,161.0,normexam,-0.419801,F,girls,Sngl
8,27.0,normexam,-1.029067,F,girls,Sngl
8,28.0,normexam,0.5443412,F,girls,Sngl
8,29.0,normexam,1.8138272,F,girls,Sngl
8,22.0,normexam,0.0043222,F,girls,Sngl
8,24.0,normexam,-1.335315,F,girls,Sngl
8,21.0,normexam,0.1941492,F,girls,Sngl
8,38.0,normexam,-0.776109,F,girls,Sngl
8,37.0,normexam,-0.062088,F,girls,Sngl
8,39.0,normexam,1.4395322,F,girls,Sngl
8,31.0,normexam,0.3280722,F,girls,Sngl
8,32.0,normexam,0.1941492,F,girls,Sngl
8,36.0,normexam,1.8138272,F,girls,Sngl
8,41.0,normexam,2.5323522,F,girls,Sngl
8,4.0,normexam,0.3280722,F,girls,Sngl
8,6.0,normexam,-0.419801,F,girls,Sngl
8,2.0,normexam,-1.962075,F,girls,Sngl
8,20.0,normexam,-1.836687,F,girls,Sngl
8,18.0,normexam,2.3136012,F,girls,Sngl
8,17.0,normexam,-0.776109,F,girls,Sngl
8,19.0,normexam,0.4026692,F,girls,Sngl
8,11.0,normexam,-0.197611,F,girls,Sngl
8,12.0,normexam,-0.129085,F,girls,Sngl
8,16.0,normexam,-2.108644,F,girls,Sngl
8,13.0,normexam,0.1340672,F,girls,Sngl
